month,floor,exit,dir,is_ret,is_R,oos_R,ret,n,dd,pf,fill
2024-04,1.5,R3,L+S,18.342288510235537,0.6511904374702239,0.35302891061053077,4.234560450827707,17,-3.9767938921639323,1.493725081517251,0.6538461538461539
2024-05,1.5,R10+trail5,L+S,19.76682502622278,0.6153252939309777,0.3246825167593687,3.504242247970324,16,-5.724944438399526,1.4689528408125878,0.8888888888888888
2024-06,1.5,R10+trail5,L+S,23.815849891675754,0.5294214144077323,0.8322521244647397,4.8825629453747466,15,-3.674046398074149,1.832295601091104,0.8333333333333334
2024-07,1.5,trail5,L+S,33.15439882990834,0.7576306934288335,0.5668907710819436,7.516463546582175,19,-8.111631271923459,1.7200585477504475,0.8260869565217391
2024-08,1.5,R5,L+S,48.66694408208123,0.9223055038864456,-0.5004937603294132,-4.726093533154141,12,-7.726839814075115,0.4511962634394694,0.8
2024-09,1.5,R10+trail5,L+S,54.92948984214179,0.6582580174134425,-0.25622779810416596,-3.205552886841112,16,-7.259738930331339,0.6671780673535394,0.7272727272727273
2024-10,1.5,R10+trail5,L+S,50.96849515023063,0.5539189435789784,1.4139607845943398,12.198474672050752,13,-4.328515401575572,2.943242390605478,0.6842105263157895
2024-11,1.5,R10+trail5,L+S,74.5603034129809,0.6709423650792978,1.3710691410585352,15.762609765773083,15,-3.810526586098928,3.1207106179975375,0.9375
2024-12,1.5,R10+trail5,L+S,102.16300572563775,0.7433603795931382,-0.155575089344794,-2.654489287483275,20,-10.54503075528509,0.7998012640474914,0.9523809523809523
2025-01,1.5,R10+trail5,L+S,96.28231488427414,0.6371668696345626,0.4238367525461951,3.507115902342739,18,-3.9687633066131656,1.5357267109884125,0.9
2025-02,1.5,R10+trail5,L+S,103.27710697146641,0.6166945804167105,1.8294737272761297,11.914660759331408,11,-4.10043948503308,4.6631345978176135,0.7333333333333333
2025-03,1.5,R10+trail5,L+S,123.26104382597181,0.6761340099176458,0.12639337771104567,1.0302882997259344,14,-6.5272426336606015,1.1916207977705326,0.8235294117647058
2025-04,1.5,R10+trail5,L+S,125.56127623835738,0.6389534840679241,0.43199907463456566,2.115715217184544,13,-5.501933462350072,1.3882789430629865,0.7222222222222222
2025-05,1.5,trail5,L+S,130.59493031002947,0.7218457120552162,0.6524051516989472,7.354196178196948,15,-4.470020088909543,2.2018974683710093,0.8333333333333334
2025-06,1.5,trail5,L+S,153.06005020368488,0.7340047633179955,0.6645934569181736,4.622478818854048,12,-3.2724506002720144,2.0356313157966763,0.7058823529411765
2025-07,1.5,trail5,L+S,165.5540154452711,0.7369201806183874,0.6937823818843032,4.818619195282237,14,-5.677499219935822,1.9046225443490772,0.7368421052631579
2025-08,1.5,trail5,L+S,178.35005220735928,0.7344947622156678,1.2449702174042663,9.52580844062938,12,-3.7790915173296358,4.49436587386272,0.8571428571428571
2025-09,1.5,trail5,L+S,198.59353329188977,0.7470441179406493,-0.5810076436558934,-6.568073886508385,19,-9.075299475988741,0.3090335836114986,0.9047619047619048
2025-10,1.5,trail5,L+S,178.2795809324758,0.6595774996514898,-0.273112060072867,-2.880168962912011,14,-4.9335729723297135,0.6725146202096556,0.7
2025-11,1.5,trail5,L+S,168.33207133318209,0.6091998260720796,0.5464926410552166,4.768969451406879,15,-5.830823006993935,1.6676259374459872,0.75
2025-12,1.5,trail5,L+S,181.43473241801314,0.609252984951743,-0.7257155765404392,-10.186989725342666,20,-10.621413063669472,0.21137209365729423,0.8695652173913043
2026-01,1.5,trail5,L+S,152.7650051430445,0.5276035316494689,1.9440647582459711,14.71712164830359,11,-4.9171470049620964,4.36191313574726,0.6875
2026-02,1.5,trail5,L+S,190.36786123434402,0.5743009864269389,0.638756637058229,5.191773489454565,12,-6.892894981112629,1.9277414746544368,0.75
2026-03,1.5,R10+trail5,L+S,211.10291312494374,0.5185912556002801,0.41247466830337565,4.197679848341118,15,-4.51722081071485,1.6250318682979343,0.9375
2026-04,1.5,R10+trail5,L+S,224.6430567990959,0.5177166056593013,0.14679684527401266,2.1343440686677706,18,-6.5862089567281785,1.2962933582865839,0.8571428571428571
2026-05,1.5,R10+trail5,L+S,231.16719009574803,0.5005702223409653,0.7536163253039204,6.359748471854432,12,-3.583545093725793,3.041562079594888,0.8
2026-06,1.5,R10+trail5,L+S,260.7485150128455,0.5180353285552922,0.7639176338195374,8.734657667751211,16,-4.673897890669421,2.242165704020583,0.9411764705882353
2026-07,1.5,trail5,L+S,312.2330800920749,0.6508261966826212,0.14045383381241575,0.9638159024584647,14,-4.631726489923116,1.2388963466179093,0.7777777777777778
2026-08,1.5,trail5,L+S,316.20624807319615,0.6337731821714447,-0.38344310786366975,-4.719074291305225,23,-7.081870403259572,0.5813899723480951,0.8846153846153846
2026-09,1.5,trail5,L+S,296.8904284882102,0.5825299675167162,0.27246434693712934,2.563259581604771,10,-6.028299785864255,1.5703459954465768,0.9090909090909091
